Itr:168 Energy:-0.06482321616560877 Cost:367.8221147498206 energy_imp:5.665556867831545e-06 cost_imp:0.37914727828399464
Itr:169 Energy:-0.06482884785124896 Cost:367.44599614192435 energy_imp:5.631685640189454e-06 cost_imp:0.3761186078962737
Itr:170 Energy:-0.06483444633048227 Cost:367.07286461013075 energy_imp:5.5984792333152456e-06 cost_imp:0.3731315317936037
Itr:171 Energy:-0.06484001225339835 Cost:366.7026792420979 energy_imp:5.565922916075938e-06 cost_imp:0.37018536803287816
Itr:172 Energy:-0.06484554625569793 Cost:366.3353997943073 energy_imp:5.5340022995786775e-06 cost_imp:0.3672794477905654
Itr:173 Energy:-0.06485104895902644 Cost:365.97098667924183 energy_imp:5.502703328510994e-06 cost_imp:0.36441311506547436
Itr:174 Energy:-0.06485652097130001 Cost:365.6094009528427 energy_imp:5.472012273577409e-06 cost_imp:0.36158572639914155
Itr:175 Energy:-0.06486196288702296 Cost:365.25060430224926 energy_imp:5.441915722950719e-06 cost_imp:0.35879665059343324
Itr:176 Energy:-0.06486737528759731 Cost:364.8945590338101 energy_imp:5.4124005743477754e-06 cost_imp:0.35604526843917483
Itr:177 Energy:-0.06487275874162571 Cost:364.5412280613554 energy_imp:5.3834540283959065e-06 cost_imp:0.35333097245467115
Itr:178 Energy:-0.0648781138052058 Cost:364.1905748947275 energy_imp:5.355063580098074e-06 cost_imp:0.35065316662792156
Itr:179 Energy:-0.06488344102221852 Cost:363.84256362856706 energy_imp:5.3272170127127705e-06 cost_imp:0.34801126616042666
Itr:180 Energy:-0.06488874092460822 Cost:363.4971589313391 energy_imp:5.2999023897049025e-06 cost_imp:0.34540469722799116
Itr:181 Energy:-0.06489401403265722 Cost:363.1543260345975 energy_imp:5.273108049000386e-06 cost_imp:0.3428328967415837
Itr:182 Energy:-0.06489926085525277 Cost:362.8140307224901 energy_imp:5.246822595547651e-06 cost_imp:0.3402953121074006
Itr:183 Energy:-0.06490448189014797 Cost:362.4762393214805 energy_imp:5.2210348951975405e-06 cost_imp:0.3377914010096106
Itr:184 Energy:-0.06490967762421643 Cost:362.14091869029994 energy_imp:5.195734068458302e-06 cost_imp:0.33532063118053657
Itr:185 Energy:-0.06491484853370061 Cost:361.8080362101112 energy_imp:5.1709094841811964e-06 cost_imp:0.33288248018874356
Itr:186 Energy:-0.06491999508445424 Cost:361.4775597748835 energy_imp:5.146550753634682e-06 cost_imp:0.33047643522769476
Itr:187 Energy:-0.06492511773217903 Cost:361.14945778197404 energy_imp:5.122647724786766e-06 cost_imp:0.32810199290946684
Itr:188 Energy:-0.06493021692265563 Cost:360.82369912291256 energy_imp:5.099190476601234e-06 cost_imp:0.32575865906147783
Itr:189 Energy:-0.06493529309196902 Cost:360.50025317437496 energy_imp:5.076169313389389e-06 cost_imp:0.32344594853759645
Itr:190 Energy:-0.06494034666672849 Cost:360.1790897893562 energy_imp:5.0535747594671054e-06 cost_imp:0.3211633850187354
Itr:191 Energy:-0.06494537806428256 Cost:359.86017928852465 energy_imp:5.031397554075556e-06 cost_imp:0.3189105008315778
Itr:192 Energy:-0.0649503876929286 Cost:359.54349245175933 energy_imp:5.009628646038267e-06 cost_imp:0.31668683676531373
Itr:193 Energy:-0.0649553759521175 Cost:359.22900050986493 energy_imp:4.988259188903887e-06 cost_imp:0.31449194189440277
Itr:194 Energy:-0.0649603432326534 Cost:358.916675136462 energy_imp:4.96728053589468e-06 cost_imp:0.31232537340292765
Itr:195 Energy:-0.06496528991688905 Cost:358.60648844004254 energy_imp:4.946684235646037e-06 cost_imp:0.31018669641946417
Itr:196 Energy:-0.06497021637891601 Cost:358.298412956196 energy_imp:4.926462026960676e-06 cost_imp:0.3080754838465509
Itr:197 Energy:-0.06497512298475078 Cost:357.99242163999105 energy_imp:4.906605834770206e-06 cost_imp:0.30599131620493836
Itr:198 Energy:-0.06498001009251618 Cost:357.6884878585188 energy_imp:4.887107765402798e-06 cost_imp:0.30393378147226713
Itr:199 Energy:-0.06498487805261899 Cost:357.3865853835897 energy_imp:4.867960102808433e-06 cost_imp:0.3019024749290793
Itr:200 Energy:-0.06498972720792266 Cost:357.08668838457703 energy_imp:4.849155303673913e-06 cost_imp:0.29989699901267386
